student_id,date,week_num,is_weekend,is_deadline_week,sleep_hours,focus_minutes,activity_steps,stress_level,mood_score,caffeine_drinks,social_hours,goal_completion_rate,burnout_score,sleep_debt,stress_mood_ratio,productivity_index
STU_0307,2023-10-09,6,0,0,7.0,37.2,6265.0,5.6,3.75,3.4,2.07,0.3671412554050672,0.286,1.0,1.4545454545454544,0.25428333333333336
STU_0392,2023-10-20,8,0,1,4.78,63.7,4560.0,6.4,2.0,2.1,1.9,0.2885990092373274,0.431,3.2199999999999998,3.0476190476190474,0.23515416666666666
STU_0492,2023-11-27,13,0,0,7.54,57.400000000000006,4175.0,5.4,3.5,2.7,0.38,0.3933507813113958,0.238,0.45999999999999996,1.5,0.25345833333333334
STU_0214,2023-10-16,7,0,1,3.63,84.4,4382.0,7.6,3.2,3.4,1.43,0.4618755338267762,0.591,4.37,2.3030303030303028,0.21834333333333333
STU_0233,2023-09-16,3,1,1,4.1,20.4,12114.0,10.0,1.0,4.0,0.0,0.2575350560859217,0.606,3.9000000000000004,9.09090909090909,0.18277
STU_0140,2023-12-29,18,0,0,7.01,142.8,5605.0,4.2,5.3,2.6,0.78,0.7332527011838277,0.41,0.9900000000000002,0.7777777777777779,0.39748333333333336
STU_0459,2023-10-04,5,0,0,6.31,54.099999999999994,3945.0,7.7,4.5,1.4,1.56,0.3072364109946436,0.472,1.6900000000000004,1.673913043478261,0.17795416666666666
STU_0289,2023-09-27,4,0,0,5.21,33.1,4924.0,6.9,1.8,3.6,2.07,0.3106886416390769,0.402,2.79,3.631578947368421,0.19313249999999998
STU_0242,2023-10-02,5,0,0,7.78,39.0,6187.0,2.8,5.1,3.0,1.26,0.5416721580408653,0.083,0.21999999999999975,0.5384615384615385,0.3391183333333333
STU_0415,2023-11-21,12,0,1,5.29,91.8,3989.0,5.9,3.5,3.5,0.31,0.4806188983196106,0.47,2.71,1.6388888888888888,0.2718116666666667
STU_0189,2023-11-02,9,0,0,7.18,97.8,4444.0,3.6,4.9,2.1,0.51,0.8568587097950473,0.288,0.8200000000000003,0.72,0.3531283333333333
STU_0066,2023-12-02,14,1,1,5.54,58.7,4446.0,5.6,3.2,3.5,1.29,0.4862966781246307,0.447,2.46,1.6969696969696968,0.25242583333333335
STU_0051,2023-11-15,11,0,0,7.33,56.3,3736.0,6.3,3.7,3.5,0.96,0.5524941073741181,0.343,0.6699999999999999,1.657894736842105,0.21945916666666665
STU_0105,2023-10-25,8,0,1,4.27,62.1,7069.0,7.7,3.6,3.9,0.96,0.4882089952156758,0.548,3.7300000000000004,2.081081081081081,0.22794083333333331
STU_0067,2023-09-30,5,1,0,4.44,62.8,6894.0,8.3,1.0,3.9,0.76,0.4015720863726087,0.584,3.5599999999999996,7.545454545454546,0.20833666666666667
STU_0105,2023-12-02,14,1,1,5.87,48.0,6952.0,8.0,3.3,3.0,0.98,0.3385859271318607,0.477,2.13,2.3529411764705883,0.20269333333333334
STU_0329,2023-09-22,4,0,0,4.01,10.8,4121.0,7.2,1.5,4.0,1.69,0.3585762191537452,0.476,3.99,4.5,0.15019666666666667
STU_0310,2023-12-10,15,1,1,4.67,13.9,6913.0,8.4,1.0,2.7,0.0,0.3230291121968401,0.435,3.33,7.636363636363636,0.15465249999999997
STU_0210,2023-11-27,13,0,0,6.24,100.5,6157.0,3.7,6.6,4.0,1.54,0.6262824173649706,0.33,1.7599999999999998,0.5522388059701493,0.37578083333333334
STU_0089,2023-10-31,9,0,0,7.26,28.3,4893.0,8.8,1.0,6.1,1.18,0.4452694116457441,0.465,0.7400000000000002,8.0,0.13071916666666664
STU_0144,2023-10-10,6,0,0,6.38,29.1,5066.0,4.8,2.7,4.5,0.0,0.4875761284298651,0.212,1.62,1.714285714285714,0.2538591666666667
STU_0370,2023-10-17,7,0,1,6.03,80.8,4911.0,7.5,4.1,4.3,1.75,0.4341511928565751,0.455,1.9699999999999998,1.785714285714286,0.22464666666666666
STU_0418,2023-11-27,13,0,0,5.98,50.4,6647.5,6.1,3.2,3.8,1.2,0.3038987402798563,0.529,2.0199999999999996,1.8484848484848482,0.2581333333333333
STU_0313,2023-12-09,15,1,1,5.49,1.2,8670.0,10.0,1.0,3.6,0.73,0.3346844209386553,0.489,2.51,9.09090909090909,0.11685
STU_0289,2023-12-24,17,1,0,5.38,1.5,4741.0,7.1,1.0,3.4,2.13,0.3798497668524335,0.526,2.62,6.454545454545454,0.15177583333333333
