user_id,username,age,user_level,log_date,habit_category,difficulty,completed,streak_length,xp_earned,has_accountability,self_rating,notes
USR_02055,user_blake5545,25,1,02/12/2023,work,medium,0,9.0,0.0,1.0,5.0,
USR_01122,user_taylor2890,25,73,06-16-2023,Social,easy,1,182.0,8.51,1.0,1.0,new record!
USR_00711,user_sam4650,28,34,15/02/2023,study,easy,1,9.0,9.38,0.0,5.0,easy win
USR_01918,user_sam4697,12,14,2023-09-04,fit,medium,1,10.0,24.19,0.0,7.0,
USR_01010,user_alex4764,19,14,2022-12-17,studying,medium,1,11.0,25.43,0.0,9.0,easy win
USR_00939,user_riley7321,21,17,01-11-2022,meditation,easy,1,21.0,10.71,1.0,6.0,
USR_00421,user_jordan9053,24,13,05/08/2023,nutrition,trivial,1,1.0,5.67,0.0,7.0,
USR_01491,user_blake2848,21,10,12/08/2023,sleeep,easy,1,11.0,9.24,1.0,8.0,
USR_02724,user_avery4905,15,39,04/12/2022,Meditation,easy,1,,5.48,0.0,2.0,
USR_02019,user_drew1176,21,12,03-02-2023,social,medium,1,22.0,21.99,1.0,,
USR_02908,user_drew4454,20,21,07-14-2023,fitness,medium,1,101.0,23.26,0.0,3.0,
USR_02633,user_blake7387,28,25,2023/04/17,sleep,medium,1,93.0,21.45,1.0,2.0,
USR_00261,user_taylor4007,30,25,2023-02-03,socializing,hard,1,,37.25,1.0,3.0,felt great
USR_02232,user_riley3337,19,23,11-07-2021,sleeep,hard,1,3.0,34.0,0.0,,
USR_00671,user_blake5410,34,27,2023/02/15,Sleep,easy,0,23.0,0.0,0.0,9.0,
USR_01404,user_avery9445,22,39,12-08-2022,Social,medium,1,5.0,17.02,,2.0,
USR_01737,user_jordan1999,32,20,05-11-2021,fitness,medium,1,3.0,22.6,0.0,2.0,struggled today
USR_01762,user_sam4593,20,17,2022/11/27,Sleep,easy,0,1.0,0.0,1.0,8.0,felt great
USR_02140,user_avery2719,26,54,16/01/2022,socail,,1,176.0,22.74,0.0,3.0,
USR_00607,user_casey5952,32,13,02-12-2023,nutrtion,medium,0,94.0,0.0,0.0,1.0,
USR_01331,user_alex1228,18,25,07-28-2023,working,medium,1,12.0,21.79,1.0,5.0,
USR_01875,user_riley1503,16,17,12-15-2021,Sleep,hard,1,1.0,44.16,,3.0,
USR_01504,user_jordan1364,18,17,2022/06/22,sleeep,easy,0,5.0,0.0,0.0,8.0,
USR_01231,user_alex9131,40,78,08/07/2023,Nutrition,hard,1,,39.38,1.0,,
USR_00451,user_jordan7718,27,9,2023-10-23,working,medium,1,10.0,20.85,0.0,1.0,felt great
USR_01546,user_blake4568,33,26,2022-04-18,meditaton,medium,1,8.0,21.78,1.0,1.0,
USR_01560,user_alex762,20,87,18/02/2022,stuyd,hard,1,16.0,46.04,0.0,4.0,
USR_00663,user_riley6142,16,37,2023-09-11,nutrtion,easy,0,4.0,0.0,0.0,3.0,
USR_01517,user_blake3590,28,6,2023-07-25,meditaton,easy,0,5.0,0.0,1.0,9.0,easy win
USR_02000,user_drew9382,22,11,2023-11-28,sleeep,medium,1,8.0,22.69,1.0,5.0,
USR_02279,user_morgan8429,33,19,07-15-2021,Work,easy,0,19.0,0.0,0.0,8.0,
USR_02083,user_sam8164,27,19,2023-08-01,fitness,medium,0,10.0,0.0,0.0,,
USR_01248,user_riley3341,33,23,11-07-2021,Reading,easy,1,11.0,9.62,0.0,,
USR_01473,user_riley8029,25,35,2023/07/29,FITNESS,easy,1,11.0,13.64,0.0,2.0,
USR_00381,user_sam3165,34,32,2023-05-14,reading,easy,1,29.0,10.22,,10.0,skipped yesterday
USR_01542,user_drew4412,30,1,2022-03-20,fitnes,medium,1,6.0,14.34,0.0,,
USR_01545,user_sam6610,23,92,2022-06-23,studying,medium,1,69.0,21.47,1.0,7.0,
USR_01731,user_riley4272,30,11,02-09-2023,socail,easy,1,,6.03,1.0,2.0,
USR_01141,user_taylor8452,23,39,2023/06/02,working,easy,1,1.0,10.69,0.0,7.0,skipped yesterday
USR_00239,user_taylor2861,20,24,26/11/2023,Study,hard,1,17.0,40.69,1.0,5.0,easy win
USR_02302,user_sam5870,30,7,12-01-2023,fitnes,medium,0,11.0,0.0,1.0,7.0,
USR_00228,user_alex8528,32,36,2023/06/03,socail,medium,0,6.0,0.0,1.0,10.0,
USR_02178,user_avery3132,31,32,2023-07-16,socializing,,1,14.0,16.29,1.0,,felt great
USR_01741,user_morgan1386,18,19,25/11/2021,Study,easy,1,1.0,12.72,,6.0,
USR_00293,user_alex9442,20,35,2023-03-09,nutrtion,medium,1,6.0,19.11,0.0,7.0,
USR_00504,user_casey3922,27,29,07-03-2022,meditate,hard,0,24.0,0.0,0.0,5.0,
USR_01496,user_drew888,31,30,12-13-2023,Social,easy,1,8.0,9.88,0.0,3.0,new record!
USR_00487,user_avery7746,39,31,2023/05/20,FITNESS,medium,1,7.0,21.45,1.0,,
USR_02082,user_riley1877,10,8,2023-07-21,work,trivial,1,22.0,11.05,1.0,5.0,
USR_01311,user_casey3154,23,9,2022-07-10,readng,medium,1,4.0,21.29,0.0,1.0,
USR_02355,user_riley2303,30,29,08-12-2022,fitness,easy,1,10.0,17.21,1.0,1.0,
USR_00092,user_taylor6128,35,27,16/08/2022,sleeping,easy,1,3.0,7.87,0.0,6.0,
USR_02856,user_jordan837,31,11,2023/07/31,nutrtion,medium,1,5.0,22.73,1.0,,
USR_00354,user_riley7395,33,3,28/07/2022,Fitness,medium,1,104.0,17.24,0.0,10.0,
USR_01542,user_drew4412,30,1,2023-07-27,reading,hard,1,14.0,41.99,0.0,4.0,easy win
USR_02743,user_casey5199,16,25,2023-08-17,meditation,medium,1,52.0,24.09,1.0,,
USR_01983,user_alex8390,31,23,2022/09/06,meditaton,hard,0,3.0,0.0,0.0,4.0,skipped yesterday
USR_00952,user_casey2285,19,2,17/04/2023,working,medium,0,7.0,0.0,0.0,10.0,
USR_00646,user_sam5287,26,71,2021-05-20,nutrtion,medium,1,227.0,18.5,1.0,5.0,
USR_02084,user_casey9987,22,31,21/07/2023,meditation,medium,1,11.0,23.83,0.0,3.0,
USR_02451,user_alex8690,29,8,2023/07/27,working,hard,1,1.0,,0.0,,
USR_00994,user_taylor4883,34,38,29/04/2022,social,medium,1,5.0,20.83,1.0,5.0,
USR_01067,user_drew7881,31,34,02/10/2023,wrk,medium,1,37.0,18.03,0.0,7.0,skipped yesterday
USR_00039,user_avery6226,32,26,2023/04/12,socail,medium,1,15.0,16.08,1.0,3.0,
USR_00716,user_alex135,28,32,2023-09-08,meditation,medium,1,28.0,26.38,0.0,3.0,easy win
USR_01747,user_morgan2017,30,36,2023/02/16,diet,trivial,1,5.0,6.69,1.0,3.0,
USR_01351,user_avery8048,33,99,01-12-2022,Work,medium,1,37.0,19.76,1.0,5.0,
USR_01163,user_morgan6823,37,34,2023/10/08,sleeep,medium,0,1.0,0.0,0.0,1.0,
USR_01935,user_casey2211,20,29,2022-04-10,fitnes,easy,1,,7.01,1.0,3.0,skipped yesterday
USR_02773,user_sam8582,24,36,12-28-2023,read,easy,1,2.0,9.88,0.0,1.0,skipped yesterday
USR_02827,user_blake8386,16,26,10-18-2023,reading,easy,1,38.0,7.98,1.0,,
USR_00148,user_taylor1974,24,24,11-05-2023,Study,easy,0,4.0,0.0,1.0,6.0,
USR_02160,user_casey7484,25,23,07/02/2023,meditate,medium,1,2.0,19.12,1.0,6.0,
USR_00177,user_drew3460,28,27,2022/12/05,sleeping,medium,0,4.0,0.0,,5.0,
USR_02468,user_sam2545,19,5,2023/08/13,socializing,medium,1,4.0,21.54,0.0,8.0,
USR_01230,user_riley4518,18,29,06-17-2023,study,medium,0,1.0,0.0,1.0,10.0,
USR_01991,user_riley3096,32,31,07-18-2023,readng,hard,1,5.0,38.69,1.0,4.0,
USR_02187,user_taylor9596,27,87,2023-09-23,fitness,hard,1,5.0,43.37,0.0,,
USR_00979,user_jordan4971,18,18,10/11/2021,nutrtion,trivial,1,7.0,2.58,0.0,5.0,
USR_02722,user_blake8544,24,15,06-07-2023,meditaton,medium,0,1.0,0.0,1.0,,
USR_01058,user_drew4921,26,21,15/05/2023,wrk,medium,1,4.0,21.93,0.0,9.0,
USR_00669,user_blake992,22,36,09-30-2023,wrk,easy,1,9.0,6.03,0.0,,
USR_01423,user_taylor8917,20,32,2022-07-05,nutrtion,easy,1,26.0,9.21,0.0,2.0,
USR_02559,user_blake702,27,36,07-14-2023,work,medium,1,25.0,20.83,0.0,1.0,
USR_00755,user_avery9246,20,14,2021-07-11,diet,medium,1,61.0,21.09,0.0,4.0,
USR_01198,user_taylor1324,36,67,2023-11-13,nutrition,easy,1,107.0,2.94,0.0,10.0,
USR_02187,user_taylor9596,27,87,2023-06-26,readng,medium,1,271.0,25.12,1.0,2.0,
USR_01741,user_morgan1386,18,19,29/12/2022,Meditation,hard,0,2.0,0.0,1.0,10.0,
USR_00948,user_riley4924,19,79,2023/09/03,readng,medium,1,94.0,18.49,0.0,,
USR_00707,user_avery6795,22,22,30/06/2023,Reading,medium,0,1.0,0.0,,7.0,
USR_02781,user_blake9681,29,2,18/11/2023,Fitness,medium,1,64.0,14.41,0.0,1.0,skipped yesterday
USR_00341,user_taylor6081,18,13,24/07/2023,socializing,hard,1,10.0,39.7,1.0,9.0,
USR_00918,user_sam6665,23,70,2022-01-12,meditaton,medium,1,54.0,17.74,1.0,10.0,
USR_02202,user_morgan9079,31,4,2023-12-18,reading,hard,0,6.0,0.0,0.0,10.0,new record!
USR_02226,user_taylor3902,24,37,05-06-2022,Study,trivial,0,5.0,0.0,0.0,,
USR_01811,user_taylor7992,26,25,2023-06-18,social,medium,0,9.0,0.0,0.0,,
USR_02646,user_sam6397,25,9,2023/02/06,working,medium,0,3.0,0.0,0.0,6.0,
USR_01080,user_blake5335,33,77,05/12/2023,study,hard,0,13.0,0.0,0.0,4.0,
