student_id,profile,date,week_num,is_weekend,is_deadline_week,sleep_hours,focus_minutes,activity_steps,stress_level,mood_score,caffeine_drinks,social_hours,goal_completion_rate,burnout_score
STU_0307,average,2023-10-09,6,0,0,7.0,37.2,6265.0,5.6,,3.4,2.07,0.3671412554050672,0.286
STU_0392,average,2023-10-20,8,0,1,4.78,63.7,4560.0,6.4,2.0,2.1,1.9,0.2885990092373274,0.431
STU_0492,average,2023-11-27,13,0,0,7.54,,4175.0,5.4,,2.7,0.38,0.3933507813113958,0.238
STU_0214,average,2023-10-16,7,0,1,3.63,84.4,4382.0,7.6,3.2,3.4,1.43,0.4618755338267762,0.591
STU_0233,struggling,2023-09-16,3,1,1,4.1,20.4,12114.0,10.0,1.0,4.0,0.0,0.25753505608592175,0.606
STU_0140,high_performer,2023-12-29,18,0,0,7.01,142.8,5605.0,4.2,,2.6,0.78,0.7332527011838277,0.41
STU_0459,average,2023-10-04,5,0,0,6.31,,3945.0,7.7,4.5,1.4,1.56,0.3072364109946436,0.472
STU_0289,struggling,2023-09-27,4,0,0,5.21,33.1,4924.0,6.9,1.8,3.6,2.07,0.31068864163907695,0.402
STU_0242,average,2023-10-02,5,0,0,7.78,39.0,6187.0,2.8,5.1,3.0,1.26,0.5416721580408653,0.083
STU_0415,average,2023-11-21,12,0,1,5.29,91.8,3989.0,5.9,,3.5,0.31,0.48061889831961063,0.47
STU_0189,high_performer,2023-11-02,9,0,0,7.18,97.8,4444.0,3.6,4.9,2.1,0.51,0.8568587097950473,0.288
STU_0066,high_performer,2023-12-02,14,1,1,5.54,58.7,4446.0,5.6,3.2,3.5,1.29,0.48629667812463073,0.447
STU_0051,average,2023-11-15,11,0,0,7.33,56.3,3736.0,6.3,3.7,,0.96,0.5524941073741181,0.343
STU_0105,average,2023-10-25,8,0,1,4.27,62.1,7069.0,7.7,3.6,3.9,0.96,0.48820899521567585,0.548
STU_0067,burnout_risk,2023-09-30,5,1,0,4.44,62.8,,8.3,1.0,3.9,0.76,0.40157208637260877,0.584
STU_0105,average,2023-12-02,14,1,1,5.87,48.0,6952.0,8.0,3.3,3.0,0.98,0.3385859271318607,0.477
STU_0329,struggling,2023-09-22,4,0,0,4.01,10.8,4121.0,7.2,1.5,4.0,1.69,0.35857621915374527,0.476
STU_0310,struggling,2023-12-10,15,1,1,4.67,13.9,6913.0,8.4,1.0,2.7,0.0,0.32302911219684016,0.435
STU_0210,high_performer,2023-11-27,13,0,0,6.24,100.5,6157.0,3.7,6.6,4.0,1.54,0.6262824173649706,0.33
STU_0089,struggling,2023-10-31,9,0,0,7.26,28.3,4893.0,8.8,1.0,6.1,1.18,0.44526941164574413,0.465
STU_0144,average,2023-10-10,6,0,0,6.38,29.1,5066.0,4.8,2.7,4.5,0.0,0.4875761284298651,0.212
STU_0370,average,2023-10-17,7,0,1,6.03,80.8,4911.0,7.5,4.1,4.3,1.75,0.43415119285657516,0.455
STU_0418,average,2023-11-27,13,0,0,5.98,50.4,,,3.2,3.8,1.2,0.3038987402798563,0.529
STU_0313,struggling,2023-12-09,15,1,1,5.49,1.2,8670.0,10.0,1.0,3.6,0.73,0.3346844209386553,0.489
STU_0289,struggling,2023-12-24,17,1,0,5.38,1.5,4741.0,7.1,1.0,3.4,2.13,0.37984976685243355,0.526
STU_0095,average,2023-12-20,16,0,1,4.4,50.9,2689.0,6.8,,2.4,1.15,0.3495706367291399,0.513
STU_0397,high_performer,2023-11-10,11,0,0,7.98,104.5,5223.0,4.5,6.0,2.5,0.48,0.5005218103843097,0.36
STU_0230,struggling,2023-11-25,13,1,0,6.61,9.6,9906.0,5.9,1.9,3.0,3.02,0.46959841746843173,0.304
STU_0371,high_performer,2023-12-29,18,0,0,7.24,89.8,5447.0,3.6,6.5,3.7,1.35,0.5109999849274214,0.217
STU_0311,high_performer,2023-09-29,5,0,0,6.36,84.0,5182.0,2.3,4.9,1.6,1.69,0.7153807960464014,0.223
STU_0285,high_performer,2023-09-18,3,0,1,5.81,76.6,9512.0,4.9,5.9,4.0,0.95,0.5379082352116689,0.307
STU_0356,struggling,2023-11-11,11,1,0,5.5,15.8,9402.0,9.7,1.0,4.2,,0.4527028219737215,0.536
STU_0014,burnout_risk,2023-11-10,11,0,0,5.8,,5542.0,6.1,,2.4,0.75,0.4080195707004816,0.342
STU_0101,average,2023-11-05,10,1,0,6.15,18.5,7065.0,3.5,5.6,1.3,1.41,0.5930667096946978,0.273
STU_0228,struggling,2023-09-19,3,0,1,4.64,29.1,4727.0,9.7,,4.4,0.0,0.3598639505205153,0.595
STU_0149,average,2023-12-05,14,0,1,4.82,68.4,3006.0,7.7,1.0,4.2,0.0,0.4168324001191017,0.525
STU_0405,struggling,2023-11-29,13,0,0,6.16,33.5,5200.0,9.6,,4.4,1.02,0.35251833375923636,0.57
STU_0293,struggling,2023-09-27,4,0,0,6.03,26.5,9391.0,5.5,4.7,3.1,2.04,0.32914433348267375,0.366
STU_0343,struggling,2023-12-07,14,0,1,4.71,39.3,7268.0,8.1,2.0,2.6,0.45,0.38791731291130416,0.503
STU_0003,high_performer,2023-12-26,17,0,0,8.74,101.8,9123.0,1.7,6.4,2.2,2.84,0.6323806341637048,0.141
STU_0216,high_performer,2023-09-21,3,0,1,,71.0,5767.0,6.0,4.2,4.1,3.07,0.3841754081951135,0.318
STU_0176,average,2023-10-29,9,1,0,6.74,44.3,4443.0,6.2,,3.2,0.25,0.4438136267352294,0.323
STU_0354,high_performer,2023-12-09,15,1,1,4.78,764.0,10547.0,6.5,5.6,4.6,0.65,0.4583084361250554,0.429
STU_0434,average,2023-09-14,2,0,0,5.53,62.1,6987.0,5.0,5.0,2.8,0.0,0.626356646675303,0.334
STU_0118,struggling,2023-12-18,16,0,1,5.26,23.4,3061.0,,1.6,4.8,0.0,0.5726720223780506,0.439
STU_0380,burnout_risk,2023-09-05,1,0,0,4.61,,9355.0,5.3,1.0,2.7,,0.48581681982845254,0.564
STU_0039,struggling,2023-09-09,2,1,0,6.04,40.7,,6.4,1.0,4.2,1.54,0.45049551693957524,0.4
STU_0420,struggling,2023-11-18,12,1,1,3.86,15.0,5877.0,8.2,,5.2,2.21,0.2553912056174482,0.538
STU_0162,struggling,2023-09-11,2,0,0,6.23,30.3,6357.0,6.6,,2.0,0.83,0.25282465363557705,0.4
STU_0114,high_performer,2023-11-21,12,0,1,6.76,117.9,3145.0,4.2,6.3,4.0,1.52,0.6790528834767733,0.352
STU_0407,struggling,2023-10-15,7,1,1,4.59,,12027.0,9.4,,2.6,1.84,0.35814465699785214,0.533
STU_0001,burnout_risk,2023-09-20,3,0,1,3.24,86.1,5648.0,10.0,1.0,4.2,0.97,0.3068874681071417,0.756
STU_0355,burnout_risk,2023-12-17,16,1,1,3.08,84.2,7994.0,9.8,1.0,3.3,0.72,0.5774398059445485,0.69
STU_0213,average,2023-11-19,12,1,1,5.29,4.5,10613.0,7.5,1.0,5.5,,0.2250789550470653,0.397
STU_0168,struggling,2023-11-04,10,1,0,5.55,4.7,,9.0,1.0,4.3,0.0,0.20091224390614776,0.504
STU_0321,high_performer,2023-10-09,6,0,0,7.74,68.4,7812.0,4.7,5.0,3.0,0.81,0.4850969002808413,0.289
STU_0252,burnout_risk,2023-10-19,7,0,1,4.2,92.8,7461.0,10.0,1.0,4.9,0.55,0.28002107326511105,0.628
STU_0253,average,2023-10-09,6,0,0,7.39,50.8,6750.0,7.3,2.6,3.0,0.54,0.27235098658816104,0.341
STU_0120,struggling,2023-11-05,10,1,0,5.06,0.0,13124.0,9.4,,2.1,1.17,0.35311592735021274,0.515
STU_0027,average,2023-10-08,6,1,0,6.85,36.4,9647.0,6.5,,3.0,0.0,0.31728638654421126,0.353
STU_0186,average,2023-11-21,12,0,1,4.25,56.0,2946.0,7.4,4.1,3.3,1.26,0.3789995485370833,0.613
STU_0229,average,2023-12-27,17,0,0,5.77,38.3,6718.0,4.9,6.5,3.5,0.94,0.38414446124707957,0.202
STU_0288,average,2023-10-15,7,1,1,4.44,,6350.0,7.9,1.7,,0.23,0.5631942768600827,0.509
STU_0018,average,2023-09-16,3,1,1,5.46,37.6,10344.0,7.5,3.9,4.4,0.51,0.27711103193990483,0.403
STU_0411,average,2023-09-20,3,0,1,4.28,87.6,6746.0,5.5,1.8,3.6,1.7,0.5894288067093523,0.495
STU_0261,struggling,2023-11-10,11,0,0,5.82,49.7,5013.0,7.2,1.0,2.8,0.0,0.4881815516568206,0.47
